,Period,Truck#,Ship Date,Delivery Date,Trip#,Driver,Booking,Origin,Destination,Grand Total
19,01/01/2015 to 12/31/2015,185,03/26/2015,03/27/2015,49385,STEV-YEAH,484.0,"MINOOKA, IL","EAGAN, MN",69100.0
20,01/01/2015 to 12/31/2015,185,03/27/2015,04/02/2015,49553,STEV-YEAH,816.0,"NEW HOPE, MN","OKLAHOMA CITY, OK",69100.0
21,01/01/2015 to 12/31/2015,185,04/07/2015,04/08/2015,49755,STEV-YEAH,620.0,"OKLAHOMA CITY, OK","LAREDO, TX",69100.0
22,01/01/2015 to 12/31/2015,185,04/08/2015,04/10/2015,49809,STEV-YEAH,1168.0,"LAREDO, TX","NEOGA, IL",69100.0
23,01/01/2015 to 12/31/2015,185,04/10/2015,04/13/2015,49832,STEV-YEAH,924.0,"ILLIOPOLIS, IL","BATTLEBORO, NC",69100.0
24,01/01/2015 to 12/31/2015,185,04/13/2015,04/16/2015,49965,STEV-YEAH,1343.0,"GARYSBURG, NC","ROSEMOUNT, MN",69100.0
25,01/01/2015 to 12/31/2015,185,04/16/2015,04/16/2015,50004,STEV-YEAH,374.0,"CHIPPEWA FALLS, WI","STORY CITY, IA",69100.0
26,01/01/2015 to 12/31/2015,185,04/16/2015,04/16/2015,50029,STEV-YEAH,44.0,"DES MOINES, IA","DES MOINES, IA",69100.0
27,01/01/2015 to 12/31/2015,185,04/17/2015,04/20/2015,50098,STEV-YEAH,919.0,"AMES, IA","ROCHESTER, NY",69100.0
28,01/01/2015 to 12/31/2015,185,04/20/2015,04/22/2015,50188,STEV-YEAH,924.0,"AVON, NY","AMES, IA",69100.0
29,01/01/2015 to 12/31/2015,185,04/23/2015,04/24/2015,50274,STEV-YEAH,660.0,"OMAHA, NE","NORMAN, OK",69100.0
